,Date,time,Drug_Name,Pressure,Temperature,temperature_avg,pressure_avg,temperature_category,datetime
0,15-10-2020,10:30:00,diltiazem hydrochloride,18.0,20.0,24.848484848484848,15.424242424242424,low,2020-10-15 10:30:00
1,15-10-2020,10:30:00,docetaxel injection,26.0,23.0,30.387096774193548,25.483870967741936,medium,2020-10-15 10:30:00
2,15-10-2020,10:30:00,ketamine hydrochloride,9.0,22.0,17.70967741935484,11.935483870967742,medium,2020-10-15 10:30:00
3,15-10-2020,11:30:00,diltiazem hydrochloride,19.0,20.0,24.848484848484848,15.424242424242424,low,2020-10-15 11:30:00
4,15-10-2020,11:30:00,docetaxel injection,29.0,25.0,30.387096774193548,25.483870967741936,medium,2020-10-15 11:30:00
5,15-10-2020,11:30:00,ketamine hydrochloride,9.0,21.0,17.70967741935484,11.935483870967742,medium,2020-10-15 11:30:00
6,15-10-2020,12:30:00,diltiazem hydrochloride,20.0,21.0,24.848484848484848,15.424242424242424,medium,2020-10-15 12:30:00
7,15-10-2020,12:30:00,docetaxel injection,28.0,25.0,30.387096774193548,25.483870967741936,medium,2020-10-15 12:30:00
8,15-10-2020,12:30:00,ketamine hydrochloride,11.0,20.0,17.70967741935484,11.935483870967742,low,2020-10-15 12:30:00
9,15-10-2020,1:30:00,diltiazem hydrochloride,12.0,23.0,24.848484848484848,15.424242424242424,medium,2020-10-15 01:30:00
10,15-10-2020,1:30:00,docetaxel injection,25.483870967741936,30.387096774193548,30.387096774193548,25.483870967741936,medium,2020-10-15 01:30:00
11,15-10-2020,1:30:00,ketamine hydrochloride,8.0,24.0,17.70967741935484,11.935483870967742,medium,2020-10-15 01:30:00
12,15-10-2020,2:30:00,diltiazem hydrochloride,13.0,22.0,24.848484848484848,15.424242424242424,medium,2020-10-15 02:30:00
13,15-10-2020,2:30:00,docetaxel injection,22.0,17.0,30.387096774193548,25.483870967741936,low,2020-10-15 02:30:00
14,15-10-2020,2:30:00,ketamine hydrochloride,11.935483870967742,17.70967741935484,17.70967741935484,11.935483870967742,low,2020-10-15 02:30:00
15,15-10-2020,3:30:00,diltiazem hydrochloride,15.424242424242424,24.848484848484848,24.848484848484848,15.424242424242424,medium,2020-10-15 03:30:00
16,15-10-2020,3:30:00,docetaxel injection,22.0,18.0,30.387096774193548,25.483870967741936,low,2020-10-15 03:30:00
17,15-10-2020,3:30:00,ketamine hydrochloride,11.935483870967742,17.70967741935484,17.70967741935484,11.935483870967742,low,2020-10-15 03:30:00
18,15-10-2020,4:30:00,diltiazem hydrochloride,11.0,21.0,24.848484848484848,15.424242424242424,medium,2020-10-15 04:30:00
19,15-10-2020,4:30:00,docetaxel injection,25.483870967741936,30.387096774193548,30.387096774193548,25.483870967741936,medium,2020-10-15 04:30:00
20,15-10-2020,4:30:00,ketamine hydrochloride,7.0,27.0,17.70967741935484,11.935483870967742,medium,2020-10-15 04:30:00
21,15-10-2020,5:30:00,diltiazem hydrochloride,13.0,21.0,24.848484848484848,15.424242424242424,medium,2020-10-15 05:30:00
22,15-10-2020,5:30:00,docetaxel injection,22.0,17.0,30.387096774193548,25.483870967741936,low,2020-10-15 05:30:00
23,15-10-2020,5:30:00,ketamine hydrochloride,11.935483870967742,17.70967741935484,17.70967741935484,11.935483870967742,low,2020-10-15 05:30:00
24,15-10-2020,6:30:00,diltiazem hydrochloride,14.0,22.0,24.848484848484848,15.424242424242424,medium,2020-10-15 06:30:00
25,15-10-2020,6:30:00,docetaxel injection,23.0,18.0,30.387096774193548,25.483870967741936,low,2020-10-15 06:30:00
26,15-10-2020,6:30:00,ketamine hydrochloride,9.0,26.0,17.70967741935484,11.935483870967742,medium,2020-10-15 06:30:00
27,15-10-2020,7:30:00,diltiazem hydrochloride,16.0,23.0,24.848484848484848,15.424242424242424,medium,2020-10-15 07:30:00
28,15-10-2020,7:30:00,docetaxel injection,25.483870967741936,30.387096774193548,30.387096774193548,25.483870967741936,medium,2020-10-15 07:30:00
29,15-10-2020,7:30:00,ketamine hydrochloride,10.0,25.0,17.70967741935484,11.935483870967742,medium,2020-10-15 07:30:00
30,15-10-2020,8:30:00,diltiazem hydrochloride,16.0,21.0,24.848484848484848,15.424242424242424,medium,2020-10-15 08:30:00
31,15-10-2020,8:30:00,docetaxel injection,25.483870967741936,30.387096774193548,30.387096774193548,25.483870967741936,medium,2020-10-15 08:30:00
32,15-10-2020,8:30:00,ketamine hydrochloride,11.0,24.0,17.70967741935484,11.935483870967742,medium,2020-10-15 08:30:00
33,15-10-2020,9:30:00,diltiazem hydrochloride,24.0,22.0,24.848484848484848,15.424242424242424,medium,2020-10-15 09:30:00
34,15-10-2020,9:30:00,docetaxel injection,27.0,23.0,30.387096774193548,25.483870967741936,medium,2020-10-15 09:30:00
35,15-10-2020,9:30:00,ketamine hydrochloride,10.0,23.0,17.70967741935484,11.935483870967742,medium,2020-10-15 09:30:00
36,16-10-2020,10:30:00,diltiazem hydrochloride,24.0,40.0,24.848484848484848,15.424242424242424,high,2020-10-16 10:30:00
37,16-10-2020,10:30:00,docetaxel injection,28.0,56.0,30.387096774193548,25.483870967741936,very high,2020-10-16 10:30:00
38,16-10-2020,10:30:00,ketamine hydrochloride,16.0,13.0,17.70967741935484,11.935483870967742,low,2020-10-16 10:30:00
39,16-10-2020,11:30:00,diltiazem hydrochloride,15.424242424242424,24.848484848484848,24.848484848484848,15.424242424242424,medium,2020-10-16 11:30:00
40,16-10-2020,11:30:00,docetaxel injection,29.0,57.0,30.387096774193548,25.483870967741936,very high,2020-10-16 11:30:00
41,16-10-2020,11:30:00,ketamine hydrochloride,17.0,14.0,17.70967741935484,11.935483870967742,low,2020-10-16 11:30:00
42,16-10-2020,12:30:00,diltiazem hydrochloride,27.0,42.0,24.848484848484848,15.424242424242424,high,2020-10-16 12:30:00
43,16-10-2020,12:30:00,docetaxel injection,30.0,58.0,30.387096774193548,25.483870967741936,very high,2020-10-16 12:30:00
44,16-10-2020,12:30:00,ketamine hydrochloride,18.0,15.0,17.70967741935484,11.935483870967742,low,2020-10-16 12:30:00
45,16-10-2020,1:30:00,diltiazem hydrochloride,18.0,34.0,24.848484848484848,15.424242424242424,medium,2020-10-16 01:30:00
46,16-10-2020,1:30:00,docetaxel injection,23.0,46.0,30.387096774193548,25.483870967741936,high,2020-10-16 01:30:00
47,16-10-2020,1:30:00,ketamine hydrochloride,12.0,8.0,17.70967741935484,11.935483870967742,low,2020-10-16 01:30:00
48,16-10-2020,2:30:00,diltiazem hydrochloride,19.0,35.0,24.848484848484848,15.424242424242424,medium,2020-10-16 02:30:00
49,16-10-2020,2:30:00,docetaxel injection,24.0,47.0,30.387096774193548,25.483870967741936,high,2020-10-16 02:30:00
50,16-10-2020,2:30:00,ketamine hydrochloride,12.0,9.0,17.70967741935484,11.935483870967742,low,2020-10-16 02:30:00
51,16-10-2020,3:30:00,diltiazem hydrochloride,20.0,36.0,24.848484848484848,15.424242424242424,high,2020-10-16 03:30:00
52,16-10-2020,3:30:00,docetaxel injection,25.483870967741936,30.387096774193548,30.387096774193548,25.483870967741936,medium,2020-10-16 03:30:00
53,16-10-2020,3:30:00,ketamine hydrochloride,13.0,10.0,17.70967741935484,11.935483870967742,low,2020-10-16 03:30:00
54,16-10-2020,4:30:00,diltiazem hydrochloride,21.0,36.0,24.848484848484848,15.424242424242424,high,2020-10-16 04:30:00
55,16-10-2020,4:30:00,docetaxel injection,25.0,48.0,30.387096774193548,25.483870967741936,high,2020-10-16 04:30:00
56,16-10-2020,4:30:00,ketamine hydrochloride,11.935483870967742,17.70967741935484,17.70967741935484,11.935483870967742,low,2020-10-16 04:30:00
57,16-10-2020,5:30:00,diltiazem hydrochloride,22.0,37.0,24.848484848484848,15.424242424242424,high,2020-10-16 05:30:00
58,16-10-2020,5:30:00,docetaxel injection,26.0,48.0,30.387096774193548,25.483870967741936,high,2020-10-16 05:30:00
59,16-10-2020,5:30:00,ketamine hydrochloride,15.0,11.0,17.70967741935484,11.935483870967742,low,2020-10-16 05:30:00
60,16-10-2020,6:30:00,diltiazem hydrochloride,23.0,38.0,24.848484848484848,15.424242424242424,high,2020-10-16 06:30:00
61,16-10-2020,6:30:00,docetaxel injection,27.0,49.0,30.387096774193548,25.483870967741936,high,2020-10-16 06:30:00
62,16-10-2020,6:30:00,ketamine hydrochloride,15.0,12.0,17.70967741935484,11.935483870967742,low,2020-10-16 06:30:00
63,16-10-2020,7:30:00,diltiazem hydrochloride,24.0,37.0,24.848484848484848,15.424242424242424,high,2020-10-16 07:30:00
64,16-10-2020,7:30:00,docetaxel injection,28.0,50.0,30.387096774193548,25.483870967741936,high,2020-10-16 07:30:00
65,16-10-2020,7:30:00,ketamine hydrochloride,15.0,12.0,17.70967741935484,11.935483870967742,low,2020-10-16 07:30:00
66,16-10-2020,8:30:00,diltiazem hydrochloride,25.0,38.0,24.848484848484848,15.424242424242424,high,2020-10-16 08:30:00
67,16-10-2020,8:30:00,docetaxel injection,29.0,52.0,30.387096774193548,25.483870967741936,very high,2020-10-16 08:30:00
68,16-10-2020,8:30:00,ketamine hydrochloride,15.0,11.0,17.70967741935484,11.935483870967742,low,2020-10-16 08:30:00
69,16-10-2020,9:30:00,diltiazem hydrochloride,25.0,39.0,24.848484848484848,15.424242424242424,high,2020-10-16 09:30:00
70,16-10-2020,9:30:00,docetaxel injection,28.0,55.0,30.387096774193548,25.483870967741936,very high,2020-10-16 09:30:00
71,16-10-2020,9:30:00,ketamine hydrochloride,11.935483870967742,17.70967741935484,17.70967741935484,11.935483870967742,low,2020-10-16 09:30:00
72,17-10-2020,10:30:00,diltiazem hydrochloride,11.0,14.0,24.848484848484848,15.424242424242424,low,2020-10-17 10:30:00
73,17-10-2020,10:30:00,docetaxel injection,28.0,21.0,30.387096774193548,25.483870967741936,medium,2020-10-17 10:30:00
74,17-10-2020,10:30:00,ketamine hydrochloride,13.0,22.0,17.70967741935484,11.935483870967742,medium,2020-10-17 10:30:00
75,17-10-2020,11:30:00,diltiazem hydrochloride,13.0,11.0,24.848484848484848,15.424242424242424,low,2020-10-17 11:30:00
76,17-10-2020,11:30:00,docetaxel injection,29.0,22.0,30.387096774193548,25.483870967741936,medium,2020-10-17 11:30:00
77,17-10-2020,11:30:00,ketamine hydrochloride,14.0,23.0,17.70967741935484,11.935483870967742,medium,2020-10-17 11:30:00
78,17-10-2020,12:30:00,diltiazem hydrochloride,14.0,10.0,24.848484848484848,15.424242424242424,low,2020-10-17 12:30:00
79,17-10-2020,12:30:00,docetaxel injection,28.0,23.0,30.387096774193548,25.483870967741936,medium,2020-10-17 12:30:00
80,17-10-2020,12:30:00,ketamine hydrochloride,15.0,24.0,17.70967741935484,11.935483870967742,medium,2020-10-17 12:30:00
81,17-10-2020,1:30:00,diltiazem hydrochloride,3.0,20.0,24.848484848484848,15.424242424242424,low,2020-10-17 01:30:00
82,17-10-2020,1:30:00,docetaxel injection,20.0,12.0,30.387096774193548,25.483870967741936,low,2020-10-17 01:30:00
83,17-10-2020,1:30:00,ketamine hydrochloride,8.0,13.0,17.70967741935484,11.935483870967742,low,2020-10-17 01:30:00
84,17-10-2020,2:30:00,diltiazem hydrochloride,4.0,19.0,24.848484848484848,15.424242424242424,low,2020-10-17 02:30:00
85,17-10-2020,2:30:00,docetaxel injection,22.0,13.0,30.387096774193548,25.483870967741936,low,2020-10-17 02:30:00
86,17-10-2020,2:30:00,ketamine hydrochloride,9.0,14.0,17.70967741935484,11.935483870967742,low,2020-10-17 02:30:00
87,17-10-2020,3:30:00,diltiazem hydrochloride,4.0,19.0,24.848484848484848,15.424242424242424,low,2020-10-17 03:30:00
88,17-10-2020,3:30:00,docetaxel injection,22.0,14.0,30.387096774193548,25.483870967741936,low,2020-10-17 03:30:00
89,17-10-2020,3:30:00,ketamine hydrochloride,10.0,15.0,17.70967741935484,11.935483870967742,low,2020-10-17 03:30:00
90,17-10-2020,4:30:00,diltiazem hydrochloride,4.0,18.0,24.848484848484848,15.424242424242424,low,2020-10-17 04:30:00
91,17-10-2020,4:30:00,docetaxel injection,22.0,15.0,30.387096774193548,25.483870967741936,low,2020-10-17 04:30:00
92,17-10-2020,4:30:00,ketamine hydrochloride,11.0,16.0,17.70967741935484,11.935483870967742,low,2020-10-17 04:30:00
93,17-10-2020,5:30:00,diltiazem hydrochloride,6.0,17.0,24.848484848484848,15.424242424242424,low,2020-10-17 05:30:00
94,17-10-2020,5:30:00,docetaxel injection,22.0,16.0,30.387096774193548,25.483870967741936,low,2020-10-17 05:30:00
95,17-10-2020,5:30:00,ketamine hydrochloride,11.0,17.0,17.70967741935484,11.935483870967742,low,2020-10-17 05:30:00
96,17-10-2020,6:30:00,diltiazem hydrochloride,8.0,16.0,24.848484848484848,15.424242424242424,low,2020-10-17 06:30:00
97,17-10-2020,6:30:00,docetaxel injection,23.0,17.0,30.387096774193548,25.483870967741936,low,2020-10-17 06:30:00
98,17-10-2020,6:30:00,ketamine hydrochloride,12.0,18.0,17.70967741935484,11.935483870967742,low,2020-10-17 06:30:00
99,17-10-2020,7:30:00,diltiazem hydrochloride,9.0,15.0,24.848484848484848,15.424242424242424,low,2020-10-17 07:30:00
100,17-10-2020,7:30:00,docetaxel injection,25.0,18.0,30.387096774193548,25.483870967741936,low,2020-10-17 07:30:00
101,17-10-2020,7:30:00,ketamine hydrochloride,12.0,19.0,17.70967741935484,11.935483870967742,low,2020-10-17 07:30:00
102,17-10-2020,8:30:00,diltiazem hydrochloride,15.424242424242424,24.848484848484848,24.848484848484848,15.424242424242424,medium,2020-10-17 08:30:00
103,17-10-2020,8:30:00,docetaxel injection,26.0,19.0,30.387096774193548,25.483870967741936,low,2020-10-17 08:30:00
104,17-10-2020,8:30:00,ketamine hydrochloride,11.0,20.0,17.70967741935484,11.935483870967742,low,2020-10-17 08:30:00
105,17-10-2020,9:30:00,diltiazem hydrochloride,9.0,13.0,24.848484848484848,15.424242424242424,low,2020-10-17 09:30:00
106,17-10-2020,9:30:00,docetaxel injection,27.0,20.0,30.387096774193548,25.483870967741936,low,2020-10-17 09:30:00
107,17-10-2020,9:30:00,ketamine hydrochloride,12.0,21.0,17.70967741935484,11.935483870967742,medium,2020-10-17 09:30:00
